expression,meaning,example,domain
art@wai,"wait, pause, delay aspect of art, creative work","art@wai = the wait, pause, delay art, creative work",physical
art@wea,"weak quality of art, creative work","art@wea = weak art, creative work",physical
art@wgt,"weight, neural weight of art, creative work",art@wgt,abstract
as@bad,"bad form of as, in the manner of, like",as@bad,abstract
as@bea,"beautiful form of as, in the manner of, like",as@bea,abstract
as@con,"contraction form of as, in the manner of, like",as@con,abstract
as@fal,"failure, decline, sunset form of as, in the manner of, like",as@fal,abstract
as@goo,"good form of as, in the manner of, like",as@goo,abstract
as@imp,"implode, collapse form of as, in the manner of, like",as@imp,abstract
as@nec,"neck, connect form of as, in the manner of, like",as@nec,abstract
as@per,"perceive, sense form of as, in the manner of, like",as@per,abstract
as@tru,"true form of as, in the manner of, like",as@tru,abstract
ash@shp,"ship, large vessel of ash, burnt residue",ash@shp,physical
ask@ang,express anger through asking,ask@ang,communication
ask@cal,express calm through asking,ask@cal,communication
ask@con,express contraction through asking,ask@con,communication
ask@fru,"express fruit, produce through asking",ask@fru,communication
ask@joy,express joy through asking,ask@joy,communication
ask@sad,express sadness through asking,ask@sad,communication
ask@san,"sangha, spiritual community of asking",ask@san,abstract
asm@ash,"ash, burnt residue of assume, take as:",asm@ash,abstract
asm@sto,"stone/mineral of assume, take as:",asm@sto,abstract
ast@hot,"passion, anger, urgency of astronomy, celestial",ast@hot,abstract
ast@neg,"negate, deny, opposite of of astronomy, celestial",ast@neg,abstract
ast@spcy,"spicy, hot flavor of astronomy, celestial",ast@spcy,abstract
async@art,"art, creative work enabled by not synchronized concurrent",async@art,technology
async@ate,"make, cause to be, act enabled by not synchronized concurrent",async@ate,technology
async@bec,because enabled by not synchronized concurrent,async@bec,technology
async@bld,"build, construct, assemble enabled by not synchronized concurrent",async@bld,technology
async@cau,"cause, reason why, causation enabled by not synchronized concurrent",async@cau,technology
async@closure,function closure enabled by not synchronized concurrent,async@closure,technology
async@combinator,combinator function enabled by not synchronized concurrent,async@combinator,technology
async@coroutine,coroutine function enabled by not synchronized concurrent,async@coroutine,technology
async@cpu,"processor, compute enabled by not synchronized concurrent",async@cpu,technology
async@cra,"craft, handwork enabled by not synchronized concurrent",async@cra,technology
async@cst,"construct, build node (HVM primitiv enabled by not synchronized concurrent",async@cst,technology
async@derivation,word formation process enabled by not synchronized concurrent,async@derivation,technology
async@dil,"diligence, hard work enabled by not synchronized concurrent",async@dil,technology
async@due,"due to, because of, owing to enabled by not synchronized concurrent",async@due,technology
async@ena,"enable, make possible, allow enabled by not synchronized concurrent",async@ena,technology
ate@bad,"bad form of make, cause to be, act",ate@bad,abstract
ate@bea,"beautiful form of make, cause to be, act",ate@bea,abstract
ate@con,"contraction form of make, cause to be, act",ate@con,abstract
ate@fal,"failure, decline, sunset form of make, cause to be, act",ate@fal,abstract
ate@goo,"good form of make, cause to be, act",ate@goo,abstract
ate@imp,"implode, collapse form of make, cause to be, act",ate@imp,abstract
ate@nec,"neck, connect form of make, cause to be, act",ate@nec,abstract
ate@ore,"or, alternative, one or other of make, cause to be, act",ate@ore,abstract
ate@per,"perceive, sense form of make, cause to be, act",ate@per,abstract
ate@tru,"true form of make, cause to be, act",ate@tru,abstract
ate@win,"wind, breeze of make, cause to be, act",ate@win,abstract
att@bad,bad form of attention,att@bad,abstract
att@bea,beautiful form of attention,att@bea,abstract
att@con,contraction form of attention,att@con,abstract
att@fal,"failure, decline, sunset form of attention",att@fal,abstract
att@goo,good form of attention,att@goo,abstract
att@imp,"implode, collapse form of attention",att@imp,abstract
att@nec,"neck, connect form of attention",att@nec,abstract
att@per,"perceive, sense form of attention",att@per,abstract
att@tru,true form of attention,att@tru,abstract
attn@oxi,"oxidize, rust of attention, focus mechanism",attn@oxi,abstract
aud@cha,change of hearing,aud@cha,cognitive
aud@rev,"perceive revision: reconsidering, backtracki through hearing",aud@rev,cognitive
aud@rsn,"perceive resonant, feels right (LLM success  through hearing",aud@rsn,cognitive
aud@sed,"perceive seed, origin through hearing",aud@sed,cognitive
aud@see,perceive seeing through hearing,aud@see,cognitive
aud@seh,"perceive see, perceive visually through hearing",aud@seh,cognitive
aud@sme,perceive smelling through hearing,aud@sme,cognitive
aud@src,"perceive search, seek, look for through hearing",aud@src,cognitive
aut@goo,"good of autumn, fall",aut@goo,abstract
ave@oxy,"oxygen, O2 of average, mean",ave@oxy,abstract
avg@bad,bad form of average,avg@bad,abstract
avg@bea,beautiful form of average,avg@bea,abstract
avg@con,contraction form of average,avg@con,abstract
avg@dar,"dark, ignorance of average",avg@dar,abstract
avg@fal,"failure, decline, sunset form of average",avg@fal,abstract
avg@goo,good form of average,avg@goo,abstract
avg@imp,"implode, collapse form of average",avg@imp,abstract
avg@nec,"neck, connect form of average",avg@nec,abstract
avg@per,"perceive, sense form of average",avg@per,abstract
avg@sho,showing of average,avg@sho,abstract
avg@tru,true form of average,avg@tru,abstract
avi@hea,healthy of bird,avi@hea,living
avi@lio,"lion, big cat of bird",avi@lio,living
avi@old,old of bird,avi@old,living
avi@rep,"reptile, cold-blood of bird",avi@rep,living
avi@swe,"sweet, sugary of bird",avi@swe,living
avo@dee,"execute avoid, stay away from, evade in deep, profound, thorough manner",avo@dee,action
avo@dil,"execute avoid, stay away from, evade in diligence, hard work manner",avo@dil,action
avo@dro,"execute avoid, stay away from, evade in drought, dry manner",avo@dro,action
avo@flu,"execute avoid, stay away from, evade in fluent, smooth generation (LLM succ manner",avo@flu,action
avo@grd,"execute avoid, stay away from, evade in gradual, slow change manner",avo@grd,action
avo@har,"execute avoid, stay away from, evade in hard, resistant manner",avo@har,action
avo@jet,"execute avoid, stay away from, evade in jet, fast plane manner",avo@jet,action
avo@jnz,"execute avoid, stay away from, evade in noble person, gentleman, moral exem manner",avo@jnz,action
avo@kin,"execute avoid, stay away from, evade in kind, gentle manner",avo@kin,action
avo@nai,"execute avoid, stay away from, evade in nail, fasten manner",avo@nai,action
avo@nud,"execute avoid, stay away from, evade in nudge, gentle wake manner",avo@nud,action
avo@rou,"execute avoid, stay away from, evade in rough manner",avo@rou,action
avo@ruf,"execute avoid, stay away from, evade in rough, coarse, uneven texture manner",avo@ruf,action
avo@run,"execute avoid, stay away from, evade in run, fast move manner",avo@run,action
avo@sim,"execute avoid, stay away from, evade in easy, simple manner",avo@sim,action
awa@ang,"anger of away, distant from, departing","awa@ang = how away, distant from, departing feels",emotion
awa@cal,"calm of away, distant from, departing","awa@cal = how away, distant from, departing feels",emotion
awa@cup,"cup, drink vessel of away, distant from, departing",awa@cup,spatial
awa@des,"desire, want strongly, crave of away, distant from, departing","awa@des = how away, distant from, departing feels",emotion
awa@dia,"diameter, across of away, distant from, departing","awa@dia = how away, distant from, departing feels",emotion
awa@dow,"downward relative to away, distant from, departing",awa@dow,spatial
awa@eas,"east, sunrise-direction relative to away, distant from, departing",awa@eas,spatial
awa@edg,"edge relative to away, distant from, departing",awa@edg,spatial
awa@far,"far relative to away, distant from, departing",awa@far,spatial
awa@fli,"flip, turn over relative to away, distant from, departing",awa@fli,spatial
awa@for,"forward relative to away, distant from, departing",awa@for,spatial
awa@fox,"fox, canine of away, distant from, departing",awa@fox,spatial
awa@fro,"in front relative to away, distant from, departing",awa@fro,spatial
awa@gap,"gap, space between relative to away, distant from, departing",awa@gap,spatial
awa@gra,"grass, lawn of away, distant from, departing","awa@gra = how away, distant from, departing feels",emotion
awa@hei,"height, tall relative to away, distant from, departing",awa@hei,spatial
awa@her,"here relative to away, distant from, departing",awa@her,spatial
awa@hex,"hexagon, six relative to away, distant from, departing",awa@hex,spatial
awa@hig,"high, elevated relative to away, distant from, departing",awa@hig,spatial
awa@hop,"hope of away, distant from, departing","awa@hop = how away, distant from, departing feels",emotion
awa@ins,"inside relative to away, distant from, departing",awa@ins,spatial
awa@joy,"joy of away, distant from, departing","awa@joy = how away, distant from, departing feels",emotion
awa@lef,"left relative to away, distant from, departing",awa@lef,spatial
awa@len,"length, long relative to away, distant from, departing",awa@len,spatial
awa@lin,"line relative to away, distant from, departing",awa@lin,spatial
awa@lov,"love of away, distant from, departing","awa@lov = how away, distant from, departing feels",emotion
awa@low,"low, ground relative to away, distant from, departing",awa@low,spatial
awa@nea,"near relative to away, distant from, departing",awa@nea,spatial
awa@nor,"north, up-direction relative to away, distant from, departing",awa@nor,spatial
awa@sad,"sadness of away, distant from, departing","awa@sad = how away, distant from, departing feels",emotion
awa@saw,"saw, cut of away, distant from, departing",awa@saw,spatial
awa@wro,"wrong, incorrect, mistaken of away, distant from, departing","awa@wro = how away, distant from, departing feels",emotion
await@art,"art, creative work enabled by wait for completion",await@art,technology
await@ate,"make, cause to be, act enabled by wait for completion",await@ate,technology
await@bec,because enabled by wait for completion,await@bec,technology
await@bld,"build, construct, assemble enabled by wait for completion",await@bld,technology
await@cau,"cause, reason why, causation enabled by wait for completion",await@cau,technology
await@closure,function closure enabled by wait for completion,await@closure,technology
await@combinator,combinator function enabled by wait for completion,await@combinator,technology
await@coroutine,coroutine function enabled by wait for completion,await@coroutine,technology
await@cpu,"processor, compute enabled by wait for completion",await@cpu,technology
await@cra,"craft, handwork enabled by wait for completion",await@cra,technology
await@cst,"construct, build node (HVM primitiv enabled by wait for completion",await@cst,technology
