expression,meaning,example,domain,base_word,intensity_level,intensity_value,semantic_group
so mag^1.0,peripheral/broad maximum mag,so mag^1.0 = peripheral/broad maximum mag,Modifiers,mag,maximum,1.0,broadening (so) operator
ve min^0.1,prototypical/narrow minimal min,ve min^0.1 = prototypical/narrow minimal min,Modifiers,min,minimal,0.1,narrowing (ve) operator
so min^0.1,peripheral/broad minimal min,so min^0.1 = peripheral/broad minimal min,Modifiers,min,minimal,0.1,broadening (so) operator
ve min^0.2,prototypical/narrow slight min,ve min^0.2 = prototypical/narrow slight min,Modifiers,min,slight,0.2,narrowing (ve) operator
so min^0.2,peripheral/broad slight min,so min^0.2 = peripheral/broad slight min,Modifiers,min,slight,0.2,broadening (so) operator
ve min^0.3,prototypical/narrow subtle min,ve min^0.3 = prototypical/narrow subtle min,Modifiers,min,subtle,0.3,narrowing (ve) operator
so min^0.3,peripheral/broad subtle min,so min^0.3 = peripheral/broad subtle min,Modifiers,min,subtle,0.3,broadening (so) operator
ve min^0.5,prototypical/narrow moderate min,ve min^0.5 = prototypical/narrow moderate min,Modifiers,min,moderate,0.5,narrowing (ve) operator
so min^0.5,peripheral/broad moderate min,so min^0.5 = peripheral/broad moderate min,Modifiers,min,moderate,0.5,broadening (so) operator
ve min^0.7,prototypical/narrow strong min,ve min^0.7 = prototypical/narrow strong min,Modifiers,min,strong,0.7,narrowing (ve) operator
so min^0.7,peripheral/broad strong min,so min^0.7 = peripheral/broad strong min,Modifiers,min,strong,0.7,broadening (so) operator
ve min^0.8,prototypical/narrow intense min,ve min^0.8 = prototypical/narrow intense min,Modifiers,min,intense,0.8,narrowing (ve) operator
so min^0.8,peripheral/broad intense min,so min^0.8 = peripheral/broad intense min,Modifiers,min,intense,0.8,broadening (so) operator
ve min^0.9,prototypical/narrow extreme min,ve min^0.9 = prototypical/narrow extreme min,Modifiers,min,extreme,0.9,narrowing (ve) operator
so min^0.9,peripheral/broad extreme min,so min^0.9 = peripheral/broad extreme min,Modifiers,min,extreme,0.9,broadening (so) operator
ve min^1.0,prototypical/narrow maximum min,ve min^1.0 = prototypical/narrow maximum min,Modifiers,min,maximum,1.0,narrowing (ve) operator
so min^1.0,peripheral/broad maximum min,so min^1.0 = peripheral/broad maximum min,Modifiers,min,maximum,1.0,broadening (so) operator
ve lon^0.1,prototypical/narrow minimal lon,ve lon^0.1 = prototypical/narrow minimal lon,Modifiers,lon,minimal,0.1,narrowing (ve) operator
so lon^0.1,peripheral/broad minimal lon,so lon^0.1 = peripheral/broad minimal lon,Modifiers,lon,minimal,0.1,broadening (so) operator
ve lon^0.2,prototypical/narrow slight lon,ve lon^0.2 = prototypical/narrow slight lon,Modifiers,lon,slight,0.2,narrowing (ve) operator
so lon^0.2,peripheral/broad slight lon,so lon^0.2 = peripheral/broad slight lon,Modifiers,lon,slight,0.2,broadening (so) operator
ve lon^0.3,prototypical/narrow subtle lon,ve lon^0.3 = prototypical/narrow subtle lon,Modifiers,lon,subtle,0.3,narrowing (ve) operator
so lon^0.3,peripheral/broad subtle lon,so lon^0.3 = peripheral/broad subtle lon,Modifiers,lon,subtle,0.3,broadening (so) operator
ve lon^0.5,prototypical/narrow moderate lon,ve lon^0.5 = prototypical/narrow moderate lon,Modifiers,lon,moderate,0.5,narrowing (ve) operator
so lon^0.5,peripheral/broad moderate lon,so lon^0.5 = peripheral/broad moderate lon,Modifiers,lon,moderate,0.5,broadening (so) operator
ve lon^0.7,prototypical/narrow strong lon,ve lon^0.7 = prototypical/narrow strong lon,Modifiers,lon,strong,0.7,narrowing (ve) operator
so lon^0.7,peripheral/broad strong lon,so lon^0.7 = peripheral/broad strong lon,Modifiers,lon,strong,0.7,broadening (so) operator
ve lon^0.8,prototypical/narrow intense lon,ve lon^0.8 = prototypical/narrow intense lon,Modifiers,lon,intense,0.8,narrowing (ve) operator
so lon^0.8,peripheral/broad intense lon,so lon^0.8 = peripheral/broad intense lon,Modifiers,lon,intense,0.8,broadening (so) operator
ve lon^0.9,prototypical/narrow extreme lon,ve lon^0.9 = prototypical/narrow extreme lon,Modifiers,lon,extreme,0.9,narrowing (ve) operator
so lon^0.9,peripheral/broad extreme lon,so lon^0.9 = peripheral/broad extreme lon,Modifiers,lon,extreme,0.9,broadening (so) operator
ve lon^1.0,prototypical/narrow maximum lon,ve lon^1.0 = prototypical/narrow maximum lon,Modifiers,lon,maximum,1.0,narrowing (ve) operator
so lon^1.0,peripheral/broad maximum lon,so lon^1.0 = peripheral/broad maximum lon,Modifiers,lon,maximum,1.0,broadening (so) operator
ve bre^0.1,prototypical/narrow minimal bre,ve bre^0.1 = prototypical/narrow minimal bre,Modifiers,bre,minimal,0.1,narrowing (ve) operator
so bre^0.1,peripheral/broad minimal bre,so bre^0.1 = peripheral/broad minimal bre,Modifiers,bre,minimal,0.1,broadening (so) operator
ve bre^0.2,prototypical/narrow slight bre,ve bre^0.2 = prototypical/narrow slight bre,Modifiers,bre,slight,0.2,narrowing (ve) operator
so bre^0.2,peripheral/broad slight bre,so bre^0.2 = peripheral/broad slight bre,Modifiers,bre,slight,0.2,broadening (so) operator
ve bre^0.3,prototypical/narrow subtle bre,ve bre^0.3 = prototypical/narrow subtle bre,Modifiers,bre,subtle,0.3,narrowing (ve) operator
so bre^0.3,peripheral/broad subtle bre,so bre^0.3 = peripheral/broad subtle bre,Modifiers,bre,subtle,0.3,broadening (so) operator
ve bre^0.5,prototypical/narrow moderate bre,ve bre^0.5 = prototypical/narrow moderate bre,Modifiers,bre,moderate,0.5,narrowing (ve) operator
so bre^0.5,peripheral/broad moderate bre,so bre^0.5 = peripheral/broad moderate bre,Modifiers,bre,moderate,0.5,broadening (so) operator
ve bre^0.7,prototypical/narrow strong bre,ve bre^0.7 = prototypical/narrow strong bre,Modifiers,bre,strong,0.7,narrowing (ve) operator
so bre^0.7,peripheral/broad strong bre,so bre^0.7 = peripheral/broad strong bre,Modifiers,bre,strong,0.7,broadening (so) operator
ve bre^0.8,prototypical/narrow intense bre,ve bre^0.8 = prototypical/narrow intense bre,Modifiers,bre,intense,0.8,narrowing (ve) operator
so bre^0.8,peripheral/broad intense bre,so bre^0.8 = peripheral/broad intense bre,Modifiers,bre,intense,0.8,broadening (so) operator
ve bre^0.9,prototypical/narrow extreme bre,ve bre^0.9 = prototypical/narrow extreme bre,Modifiers,bre,extreme,0.9,narrowing (ve) operator
so bre^0.9,peripheral/broad extreme bre,so bre^0.9 = peripheral/broad extreme bre,Modifiers,bre,extreme,0.9,broadening (so) operator
ve bre^1.0,prototypical/narrow maximum bre,ve bre^1.0 = prototypical/narrow maximum bre,Modifiers,bre,maximum,1.0,narrowing (ve) operator
so bre^1.0,peripheral/broad maximum bre,so bre^1.0 = peripheral/broad maximum bre,Modifiers,bre,maximum,1.0,broadening (so) operator
ve wid^0.1,prototypical/narrow minimal wid,ve wid^0.1 = prototypical/narrow minimal wid,Modifiers,wid,minimal,0.1,narrowing (ve) operator
so wid^0.1,peripheral/broad minimal wid,so wid^0.1 = peripheral/broad minimal wid,Modifiers,wid,minimal,0.1,broadening (so) operator
ve wid^0.2,prototypical/narrow slight wid,ve wid^0.2 = prototypical/narrow slight wid,Modifiers,wid,slight,0.2,narrowing (ve) operator
so wid^0.2,peripheral/broad slight wid,so wid^0.2 = peripheral/broad slight wid,Modifiers,wid,slight,0.2,broadening (so) operator
ve wid^0.3,prototypical/narrow subtle wid,ve wid^0.3 = prototypical/narrow subtle wid,Modifiers,wid,subtle,0.3,narrowing (ve) operator
so wid^0.3,peripheral/broad subtle wid,so wid^0.3 = peripheral/broad subtle wid,Modifiers,wid,subtle,0.3,broadening (so) operator
ve wid^0.5,prototypical/narrow moderate wid,ve wid^0.5 = prototypical/narrow moderate wid,Modifiers,wid,moderate,0.5,narrowing (ve) operator
so wid^0.5,peripheral/broad moderate wid,so wid^0.5 = peripheral/broad moderate wid,Modifiers,wid,moderate,0.5,broadening (so) operator
ve wid^0.7,prototypical/narrow strong wid,ve wid^0.7 = prototypical/narrow strong wid,Modifiers,wid,strong,0.7,narrowing (ve) operator
so wid^0.7,peripheral/broad strong wid,so wid^0.7 = peripheral/broad strong wid,Modifiers,wid,strong,0.7,broadening (so) operator
ve wid^0.8,prototypical/narrow intense wid,ve wid^0.8 = prototypical/narrow intense wid,Modifiers,wid,intense,0.8,narrowing (ve) operator
so wid^0.8,peripheral/broad intense wid,so wid^0.8 = peripheral/broad intense wid,Modifiers,wid,intense,0.8,broadening (so) operator
ve wid^0.9,prototypical/narrow extreme wid,ve wid^0.9 = prototypical/narrow extreme wid,Modifiers,wid,extreme,0.9,narrowing (ve) operator
so wid^0.9,peripheral/broad extreme wid,so wid^0.9 = peripheral/broad extreme wid,Modifiers,wid,extreme,0.9,broadening (so) operator
ve wid^1.0,prototypical/narrow maximum wid,ve wid^1.0 = prototypical/narrow maximum wid,Modifiers,wid,maximum,1.0,narrowing (ve) operator
so wid^1.0,peripheral/broad maximum wid,so wid^1.0 = peripheral/broad maximum wid,Modifiers,wid,maximum,1.0,broadening (so) operator
ve nar^0.1,prototypical/narrow minimal nar,ve nar^0.1 = prototypical/narrow minimal nar,Modifiers,nar,minimal,0.1,narrowing (ve) operator
so nar^0.1,peripheral/broad minimal nar,so nar^0.1 = peripheral/broad minimal nar,Modifiers,nar,minimal,0.1,broadening (so) operator
ve nar^0.2,prototypical/narrow slight nar,ve nar^0.2 = prototypical/narrow slight nar,Modifiers,nar,slight,0.2,narrowing (ve) operator
so nar^0.2,peripheral/broad slight nar,so nar^0.2 = peripheral/broad slight nar,Modifiers,nar,slight,0.2,broadening (so) operator
ve nar^0.3,prototypical/narrow subtle nar,ve nar^0.3 = prototypical/narrow subtle nar,Modifiers,nar,subtle,0.3,narrowing (ve) operator
so nar^0.3,peripheral/broad subtle nar,so nar^0.3 = peripheral/broad subtle nar,Modifiers,nar,subtle,0.3,broadening (so) operator
ve nar^0.5,prototypical/narrow moderate nar,ve nar^0.5 = prototypical/narrow moderate nar,Modifiers,nar,moderate,0.5,narrowing (ve) operator
so nar^0.5,peripheral/broad moderate nar,so nar^0.5 = peripheral/broad moderate nar,Modifiers,nar,moderate,0.5,broadening (so) operator
ve nar^0.7,prototypical/narrow strong nar,ve nar^0.7 = prototypical/narrow strong nar,Modifiers,nar,strong,0.7,narrowing (ve) operator
so nar^0.7,peripheral/broad strong nar,so nar^0.7 = peripheral/broad strong nar,Modifiers,nar,strong,0.7,broadening (so) operator
ve nar^0.8,prototypical/narrow intense nar,ve nar^0.8 = prototypical/narrow intense nar,Modifiers,nar,intense,0.8,narrowing (ve) operator
so nar^0.8,peripheral/broad intense nar,so nar^0.8 = peripheral/broad intense nar,Modifiers,nar,intense,0.8,broadening (so) operator
ve nar^0.9,prototypical/narrow extreme nar,ve nar^0.9 = prototypical/narrow extreme nar,Modifiers,nar,extreme,0.9,narrowing (ve) operator
so nar^0.9,peripheral/broad extreme nar,so nar^0.9 = peripheral/broad extreme nar,Modifiers,nar,extreme,0.9,broadening (so) operator
ve nar^1.0,prototypical/narrow maximum nar,ve nar^1.0 = prototypical/narrow maximum nar,Modifiers,nar,maximum,1.0,narrowing (ve) operator
so nar^1.0,peripheral/broad maximum nar,so nar^1.0 = peripheral/broad maximum nar,Modifiers,nar,maximum,1.0,broadening (so) operator
ve joy^0.1,prototypical/narrow minimal joy,ve joy^0.1 = prototypical/narrow minimal joy,Modifiers,joy,minimal,0.1,narrowing (ve) operator
so joy^0.1,peripheral/broad minimal joy,so joy^0.1 = peripheral/broad minimal joy,Modifiers,joy,minimal,0.1,broadening (so) operator
ve joy^0.2,prototypical/narrow slight joy,ve joy^0.2 = prototypical/narrow slight joy,Modifiers,joy,slight,0.2,narrowing (ve) operator
so joy^0.2,peripheral/broad slight joy,so joy^0.2 = peripheral/broad slight joy,Modifiers,joy,slight,0.2,broadening (so) operator
ve joy^0.3,prototypical/narrow subtle joy,ve joy^0.3 = prototypical/narrow subtle joy,Modifiers,joy,subtle,0.3,narrowing (ve) operator
so joy^0.3,peripheral/broad subtle joy,so joy^0.3 = peripheral/broad subtle joy,Modifiers,joy,subtle,0.3,broadening (so) operator
ve joy^0.5,prototypical/narrow moderate joy,ve joy^0.5 = prototypical/narrow moderate joy,Modifiers,joy,moderate,0.5,narrowing (ve) operator
so joy^0.5,peripheral/broad moderate joy,so joy^0.5 = peripheral/broad moderate joy,Modifiers,joy,moderate,0.5,broadening (so) operator
ve joy^0.7,prototypical/narrow strong joy,ve joy^0.7 = prototypical/narrow strong joy,Modifiers,joy,strong,0.7,narrowing (ve) operator
so joy^0.7,peripheral/broad strong joy,so joy^0.7 = peripheral/broad strong joy,Modifiers,joy,strong,0.7,broadening (so) operator
ve joy^0.8,prototypical/narrow intense joy,ve joy^0.8 = prototypical/narrow intense joy,Modifiers,joy,intense,0.8,narrowing (ve) operator
so joy^0.8,peripheral/broad intense joy,so joy^0.8 = peripheral/broad intense joy,Modifiers,joy,intense,0.8,broadening (so) operator
ve joy^0.9,prototypical/narrow extreme joy,ve joy^0.9 = prototypical/narrow extreme joy,Modifiers,joy,extreme,0.9,narrowing (ve) operator
so joy^0.9,peripheral/broad extreme joy,so joy^0.9 = peripheral/broad extreme joy,Modifiers,joy,extreme,0.9,broadening (so) operator
ve joy^1.0,prototypical/narrow maximum joy,ve joy^1.0 = prototypical/narrow maximum joy,Modifiers,joy,maximum,1.0,narrowing (ve) operator
so joy^1.0,peripheral/broad maximum joy,so joy^1.0 = peripheral/broad maximum joy,Modifiers,joy,maximum,1.0,broadening (so) operator
ve sad^0.1,prototypical/narrow minimal sad,ve sad^0.1 = prototypical/narrow minimal sad,Modifiers,sad,minimal,0.1,narrowing (ve) operator
so sad^0.1,peripheral/broad minimal sad,so sad^0.1 = peripheral/broad minimal sad,Modifiers,sad,minimal,0.1,broadening (so) operator
ve sad^0.2,prototypical/narrow slight sad,ve sad^0.2 = prototypical/narrow slight sad,Modifiers,sad,slight,0.2,narrowing (ve) operator
so sad^0.2,peripheral/broad slight sad,so sad^0.2 = peripheral/broad slight sad,Modifiers,sad,slight,0.2,broadening (so) operator
ve sad^0.3,prototypical/narrow subtle sad,ve sad^0.3 = prototypical/narrow subtle sad,Modifiers,sad,subtle,0.3,narrowing (ve) operator
so sad^0.3,peripheral/broad subtle sad,so sad^0.3 = peripheral/broad subtle sad,Modifiers,sad,subtle,0.3,broadening (so) operator
ve sad^0.5,prototypical/narrow moderate sad,ve sad^0.5 = prototypical/narrow moderate sad,Modifiers,sad,moderate,0.5,narrowing (ve) operator
so sad^0.5,peripheral/broad moderate sad,so sad^0.5 = peripheral/broad moderate sad,Modifiers,sad,moderate,0.5,broadening (so) operator
ve sad^0.7,prototypical/narrow strong sad,ve sad^0.7 = prototypical/narrow strong sad,Modifiers,sad,strong,0.7,narrowing (ve) operator
so sad^0.7,peripheral/broad strong sad,so sad^0.7 = peripheral/broad strong sad,Modifiers,sad,strong,0.7,broadening (so) operator
ve sad^0.8,prototypical/narrow intense sad,ve sad^0.8 = prototypical/narrow intense sad,Modifiers,sad,intense,0.8,narrowing (ve) operator
so sad^0.8,peripheral/broad intense sad,so sad^0.8 = peripheral/broad intense sad,Modifiers,sad,intense,0.8,broadening (so) operator
ve sad^0.9,prototypical/narrow extreme sad,ve sad^0.9 = prototypical/narrow extreme sad,Modifiers,sad,extreme,0.9,narrowing (ve) operator
so sad^0.9,peripheral/broad extreme sad,so sad^0.9 = peripheral/broad extreme sad,Modifiers,sad,extreme,0.9,broadening (so) operator
ve sad^1.0,prototypical/narrow maximum sad,ve sad^1.0 = prototypical/narrow maximum sad,Modifiers,sad,maximum,1.0,narrowing (ve) operator
so sad^1.0,peripheral/broad maximum sad,so sad^1.0 = peripheral/broad maximum sad,Modifiers,sad,maximum,1.0,broadening (so) operator
ve hot^0.1,prototypical/narrow minimal hot,ve hot^0.1 = prototypical/narrow minimal hot,Modifiers,hot,minimal,0.1,narrowing (ve) operator
so hot^0.1,peripheral/broad minimal hot,so hot^0.1 = peripheral/broad minimal hot,Modifiers,hot,minimal,0.1,broadening (so) operator
ve hot^0.2,prototypical/narrow slight hot,ve hot^0.2 = prototypical/narrow slight hot,Modifiers,hot,slight,0.2,narrowing (ve) operator
so hot^0.2,peripheral/broad slight hot,so hot^0.2 = peripheral/broad slight hot,Modifiers,hot,slight,0.2,broadening (so) operator
ve hot^0.3,prototypical/narrow subtle hot,ve hot^0.3 = prototypical/narrow subtle hot,Modifiers,hot,subtle,0.3,narrowing (ve) operator
so hot^0.3,peripheral/broad subtle hot,so hot^0.3 = peripheral/broad subtle hot,Modifiers,hot,subtle,0.3,broadening (so) operator
ve hot^0.5,prototypical/narrow moderate hot,ve hot^0.5 = prototypical/narrow moderate hot,Modifiers,hot,moderate,0.5,narrowing (ve) operator
so hot^0.5,peripheral/broad moderate hot,so hot^0.5 = peripheral/broad moderate hot,Modifiers,hot,moderate,0.5,broadening (so) operator
ve hot^0.7,prototypical/narrow strong hot,ve hot^0.7 = prototypical/narrow strong hot,Modifiers,hot,strong,0.7,narrowing (ve) operator
so hot^0.7,peripheral/broad strong hot,so hot^0.7 = peripheral/broad strong hot,Modifiers,hot,strong,0.7,broadening (so) operator
ve hot^0.8,prototypical/narrow intense hot,ve hot^0.8 = prototypical/narrow intense hot,Modifiers,hot,intense,0.8,narrowing (ve) operator
so hot^0.8,peripheral/broad intense hot,so hot^0.8 = peripheral/broad intense hot,Modifiers,hot,intense,0.8,broadening (so) operator
ve hot^0.9,prototypical/narrow extreme hot,ve hot^0.9 = prototypical/narrow extreme hot,Modifiers,hot,extreme,0.9,narrowing (ve) operator
so hot^0.9,peripheral/broad extreme hot,so hot^0.9 = peripheral/broad extreme hot,Modifiers,hot,extreme,0.9,broadening (so) operator
ve hot^1.0,prototypical/narrow maximum hot,ve hot^1.0 = prototypical/narrow maximum hot,Modifiers,hot,maximum,1.0,narrowing (ve) operator
so hot^1.0,peripheral/broad maximum hot,so hot^1.0 = peripheral/broad maximum hot,Modifiers,hot,maximum,1.0,broadening (so) operator
ve col^0.1,prototypical/narrow minimal col,ve col^0.1 = prototypical/narrow minimal col,Modifiers,col,minimal,0.1,narrowing (ve) operator
so col^0.1,peripheral/broad minimal col,so col^0.1 = peripheral/broad minimal col,Modifiers,col,minimal,0.1,broadening (so) operator
ve col^0.2,prototypical/narrow slight col,ve col^0.2 = prototypical/narrow slight col,Modifiers,col,slight,0.2,narrowing (ve) operator
so col^0.2,peripheral/broad slight col,so col^0.2 = peripheral/broad slight col,Modifiers,col,slight,0.2,broadening (so) operator
ve col^0.3,prototypical/narrow subtle col,ve col^0.3 = prototypical/narrow subtle col,Modifiers,col,subtle,0.3,narrowing (ve) operator
so col^0.3,peripheral/broad subtle col,so col^0.3 = peripheral/broad subtle col,Modifiers,col,subtle,0.3,broadening (so) operator
ve col^0.5,prototypical/narrow moderate col,ve col^0.5 = prototypical/narrow moderate col,Modifiers,col,moderate,0.5,narrowing (ve) operator
so col^0.5,peripheral/broad moderate col,so col^0.5 = peripheral/broad moderate col,Modifiers,col,moderate,0.5,broadening (so) operator
ve col^0.7,prototypical/narrow strong col,ve col^0.7 = prototypical/narrow strong col,Modifiers,col,strong,0.7,narrowing (ve) operator
so col^0.7,peripheral/broad strong col,so col^0.7 = peripheral/broad strong col,Modifiers,col,strong,0.7,broadening (so) operator
ve col^0.8,prototypical/narrow intense col,ve col^0.8 = prototypical/narrow intense col,Modifiers,col,intense,0.8,narrowing (ve) operator
so col^0.8,peripheral/broad intense col,so col^0.8 = peripheral/broad intense col,Modifiers,col,intense,0.8,broadening (so) operator
ve col^0.9,prototypical/narrow extreme col,ve col^0.9 = prototypical/narrow extreme col,Modifiers,col,extreme,0.9,narrowing (ve) operator
so col^0.9,peripheral/broad extreme col,so col^0.9 = peripheral/broad extreme col,Modifiers,col,extreme,0.9,broadening (so) operator
ve col^1.0,prototypical/narrow maximum col,ve col^1.0 = prototypical/narrow maximum col,Modifiers,col,maximum,1.0,narrowing (ve) operator
so col^1.0,peripheral/broad maximum col,so col^1.0 = peripheral/broad maximum col,Modifiers,col,maximum,1.0,broadening (so) operator
ve str^0.1,prototypical/narrow minimal str,ve str^0.1 = prototypical/narrow minimal str,Modifiers,str,minimal,0.1,narrowing (ve) operator
so str^0.1,peripheral/broad minimal str,so str^0.1 = peripheral/broad minimal str,Modifiers,str,minimal,0.1,broadening (so) operator
ve str^0.2,prototypical/narrow slight str,ve str^0.2 = prototypical/narrow slight str,Modifiers,str,slight,0.2,narrowing (ve) operator
so str^0.2,peripheral/broad slight str,so str^0.2 = peripheral/broad slight str,Modifiers,str,slight,0.2,broadening (so) operator
ve str^0.3,prototypical/narrow subtle str,ve str^0.3 = prototypical/narrow subtle str,Modifiers,str,subtle,0.3,narrowing (ve) operator
so str^0.3,peripheral/broad subtle str,so str^0.3 = peripheral/broad subtle str,Modifiers,str,subtle,0.3,broadening (so) operator
ve str^0.5,prototypical/narrow moderate str,ve str^0.5 = prototypical/narrow moderate str,Modifiers,str,moderate,0.5,narrowing (ve) operator
so str^0.5,peripheral/broad moderate str,so str^0.5 = peripheral/broad moderate str,Modifiers,str,moderate,0.5,broadening (so) operator
ve str^0.7,prototypical/narrow strong str,ve str^0.7 = prototypical/narrow strong str,Modifiers,str,strong,0.7,narrowing (ve) operator
so str^0.7,peripheral/broad strong str,so str^0.7 = peripheral/broad strong str,Modifiers,str,strong,0.7,broadening (so) operator
ve str^0.8,prototypical/narrow intense str,ve str^0.8 = prototypical/narrow intense str,Modifiers,str,intense,0.8,narrowing (ve) operator
so str^0.8,peripheral/broad intense str,so str^0.8 = peripheral/broad intense str,Modifiers,str,intense,0.8,broadening (so) operator
ve str^0.9,prototypical/narrow extreme str,ve str^0.9 = prototypical/narrow extreme str,Modifiers,str,extreme,0.9,narrowing (ve) operator
so str^0.9,peripheral/broad extreme str,so str^0.9 = peripheral/broad extreme str,Modifiers,str,extreme,0.9,broadening (so) operator
ve str^1.0,prototypical/narrow maximum str,ve str^1.0 = prototypical/narrow maximum str,Modifiers,str,maximum,1.0,narrowing (ve) operator
so str^1.0,peripheral/broad maximum str,so str^1.0 = peripheral/broad maximum str,Modifiers,str,maximum,1.0,broadening (so) operator
ve wea^0.1,prototypical/narrow minimal wea,ve wea^0.1 = prototypical/narrow minimal wea,Modifiers,wea,minimal,0.1,narrowing (ve) operator
so wea^0.1,peripheral/broad minimal wea,so wea^0.1 = peripheral/broad minimal wea,Modifiers,wea,minimal,0.1,broadening (so) operator
ve wea^0.2,prototypical/narrow slight wea,ve wea^0.2 = prototypical/narrow slight wea,Modifiers,wea,slight,0.2,narrowing (ve) operator
so wea^0.2,peripheral/broad slight wea,so wea^0.2 = peripheral/broad slight wea,Modifiers,wea,slight,0.2,broadening (so) operator
ve wea^0.3,prototypical/narrow subtle wea,ve wea^0.3 = prototypical/narrow subtle wea,Modifiers,wea,subtle,0.3,narrowing (ve) operator
so wea^0.3,peripheral/broad subtle wea,so wea^0.3 = peripheral/broad subtle wea,Modifiers,wea,subtle,0.3,broadening (so) operator
ve wea^0.5,prototypical/narrow moderate wea,ve wea^0.5 = prototypical/narrow moderate wea,Modifiers,wea,moderate,0.5,narrowing (ve) operator
so wea^0.5,peripheral/broad moderate wea,so wea^0.5 = peripheral/broad moderate wea,Modifiers,wea,moderate,0.5,broadening (so) operator
ve wea^0.7,prototypical/narrow strong wea,ve wea^0.7 = prototypical/narrow strong wea,Modifiers,wea,strong,0.7,narrowing (ve) operator
so wea^0.7,peripheral/broad strong wea,so wea^0.7 = peripheral/broad strong wea,Modifiers,wea,strong,0.7,broadening (so) operator
ve wea^0.8,prototypical/narrow intense wea,ve wea^0.8 = prototypical/narrow intense wea,Modifiers,wea,intense,0.8,narrowing (ve) operator
so wea^0.8,peripheral/broad intense wea,so wea^0.8 = peripheral/broad intense wea,Modifiers,wea,intense,0.8,broadening (so) operator
ve wea^0.9,prototypical/narrow extreme wea,ve wea^0.9 = prototypical/narrow extreme wea,Modifiers,wea,extreme,0.9,narrowing (ve) operator
so wea^0.9,peripheral/broad extreme wea,so wea^0.9 = peripheral/broad extreme wea,Modifiers,wea,extreme,0.9,broadening (so) operator
ve wea^1.0,prototypical/narrow maximum wea,ve wea^1.0 = prototypical/narrow maximum wea,Modifiers,wea,maximum,1.0,narrowing (ve) operator
so wea^1.0,peripheral/broad maximum wea,so wea^1.0 = peripheral/broad maximum wea,Modifiers,wea,maximum,1.0,broadening (so) operator
ve gro^0.1,prototypical/narrow minimal gro,ve gro^0.1 = prototypical/narrow minimal gro,Modifiers,gro,minimal,0.1,narrowing (ve) operator
so gro^0.1,peripheral/broad minimal gro,so gro^0.1 = peripheral/broad minimal gro,Modifiers,gro,minimal,0.1,broadening (so) operator
ve gro^0.2,prototypical/narrow slight gro,ve gro^0.2 = prototypical/narrow slight gro,Modifiers,gro,slight,0.2,narrowing (ve) operator
so gro^0.2,peripheral/broad slight gro,so gro^0.2 = peripheral/broad slight gro,Modifiers,gro,slight,0.2,broadening (so) operator
ve gro^0.3,prototypical/narrow subtle gro,ve gro^0.3 = prototypical/narrow subtle gro,Modifiers,gro,subtle,0.3,narrowing (ve) operator
so gro^0.3,peripheral/broad subtle gro,so gro^0.3 = peripheral/broad subtle gro,Modifiers,gro,subtle,0.3,broadening (so) operator
ve gro^0.5,prototypical/narrow moderate gro,ve gro^0.5 = prototypical/narrow moderate gro,Modifiers,gro,moderate,0.5,narrowing (ve) operator
so gro^0.5,peripheral/broad moderate gro,so gro^0.5 = peripheral/broad moderate gro,Modifiers,gro,moderate,0.5,broadening (so) operator
ve gro^0.7,prototypical/narrow strong gro,ve gro^0.7 = prototypical/narrow strong gro,Modifiers,gro,strong,0.7,narrowing (ve) operator
so gro^0.7,peripheral/broad strong gro,so gro^0.7 = peripheral/broad strong gro,Modifiers,gro,strong,0.7,broadening (so) operator
ve gro^0.8,prototypical/narrow intense gro,ve gro^0.8 = prototypical/narrow intense gro,Modifiers,gro,intense,0.8,narrowing (ve) operator
so gro^0.8,peripheral/broad intense gro,so gro^0.8 = peripheral/broad intense gro,Modifiers,gro,intense,0.8,broadening (so) operator
ve gro^0.9,prototypical/narrow extreme gro,ve gro^0.9 = prototypical/narrow extreme gro,Modifiers,gro,extreme,0.9,narrowing (ve) operator
so gro^0.9,peripheral/broad extreme gro,so gro^0.9 = peripheral/broad extreme gro,Modifiers,gro,extreme,0.9,broadening (so) operator
ve gro^1.0,prototypical/narrow maximum gro,ve gro^1.0 = prototypical/narrow maximum gro,Modifiers,gro,maximum,1.0,narrowing (ve) operator
so gro^1.0,peripheral/broad maximum gro,so gro^1.0 = peripheral/broad maximum gro,Modifiers,gro,maximum,1.0,broadening (so) operator
ve dec^0.1,prototypical/narrow minimal dec,ve dec^0.1 = prototypical/narrow minimal dec,Modifiers,dec,minimal,0.1,narrowing (ve) operator
so dec^0.1,peripheral/broad minimal dec,so dec^0.1 = peripheral/broad minimal dec,Modifiers,dec,minimal,0.1,broadening (so) operator
ve dec^0.2,prototypical/narrow slight dec,ve dec^0.2 = prototypical/narrow slight dec,Modifiers,dec,slight,0.2,narrowing (ve) operator
so dec^0.2,peripheral/broad slight dec,so dec^0.2 = peripheral/broad slight dec,Modifiers,dec,slight,0.2,broadening (so) operator
ve dec^0.3,prototypical/narrow subtle dec,ve dec^0.3 = prototypical/narrow subtle dec,Modifiers,dec,subtle,0.3,narrowing (ve) operator
so dec^0.3,peripheral/broad subtle dec,so dec^0.3 = peripheral/broad subtle dec,Modifiers,dec,subtle,0.3,broadening (so) operator
ve dec^0.5,prototypical/narrow moderate dec,ve dec^0.5 = prototypical/narrow moderate dec,Modifiers,dec,moderate,0.5,narrowing (ve) operator
